distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(667.806, 688.951]",8.098589764717886e-07,1.1938423995329851e-12,1.5325347931852522e-11,1.4421604232443733e-07,6.359194370584128e-11,4.652211662051286e-26,1.7473860186786437e-20,1.6549458293919596e-13
"(688.951, 710.266]",1.1218342078023004e-06,6.277909769296509e-13,1.3303620585260769e-11,1.445001219509674e-07,2.0944512864512014e-10,1.331574439937463e-26,3.310076099272828e-20,1.6022714800766737e-13
"(710.266, 731.47]",1.7042291544037999e-06,3.3310865984199855e-13,2.8164016882432663e-11,1.4184450220481257e-07,4.88744460107339e-10,3.648611840046189e-27,1.4962551411099457e-19,1.3338697084880212e-13
"(731.47, 753.692]",1.0324704586743789e-06,1.7439517868320135e-13,7.902117775124223e-12,1.5431425832325151e-07,9.777769668160464e-11,1.1261690191224348e-27,7.28828705727486e-21,3.217461294049165e-13
"(753.692, 776.394]",4.382303539895485e-07,8.837447068558057e-14,1.7539929825320152e-12,9.890226998073043e-08,2.2398759196939774e-11,2.913566824843271e-28,4.673753072284267e-22,6.369386365947104e-14
"(776.394, 799.564]",3.917642930518702e-07,4.4720259487908496e-14,4.1424486912840705e-13,1.024053869494842e-07,1.2989932897695956e-11,7.764262126664177e-29,2.5636242177072363e-23,1.0796348176774488e-13
"(799.564, 824.441]",6.040031972306837e-07,2.184653734609933e-14,1.36303040600786e-13,1.1317420140625225e-07,6.370532376920904e-11,2.1439860860349402e-29,4.389983057254551e-24,1.563876856287181e-13
"(824.441, 850.989]",5.587636571815736e-07,1.0106323213993798e-14,4.1917806689298837e-14,1.0568601784017745e-07,5.549063307840056e-11,5.3709432915880375e-30,8.146971285441619e-26,8.34758724855517e-13
"(850.989, 878.232]",3.1676257503379313e-07,4.5323990721425764e-15,2.119341733687321e-14,7.865601980718615e-08,9.162554707007408e-12,1.1382235477286463e-30,4.327842750383629e-26,8.827783459999776e-14
"(878.232, 907.275]",2.61820685079366e-07,1.9465916025456017e-15,1.862235688312694e-14,7.602637750243678e-08,8.845677059419173e-12,2.3874514441619833e-31,7.310365540786182e-26,1.8451631191098901e-13
"(907.275, 937.093]",6.159715564888875e-07,8.070848131429243e-16,1.3511940202735994e-14,5.5327171320353844e-08,6.718319684756792e-11,4.166224807070021e-32,3.758293300675575e-26,4.1704147606214955e-14
"(937.093, 968.346]",5.673002288388588e-07,3.257597309387857e-16,1.8392413145121338e-14,5.198972105386892e-08,4.883049825932961e-11,7.690344270037092e-33,1.4953409038752673e-25,3.322593156877029e-14
"(968.346, 1002.009]",5.882983076325997e-07,1.230333199485979e-16,7.256911050477215e-15,4.624312624068432e-08,7.685033551642054e-11,1.2412968015710654e-33,1.80455841451399e-26,2.3150692253416094e-14
"(1002.009, 1035.793]",6.11184212785606e-07,4.556115628336043e-17,2.414319204202739e-15,6.513329272552323e-08,5.433888922277423e-11,1.7207580511286744e-34,2.7093101443136613e-27,1.538322875329267e-13
"(1035.793, 1077.098]",1.1968359258203771e-07,1.4911024858993935e-17,4.411933845252391e-17,3.133578067898797e-08,1.567507266423835e-12,2.756396144657221e-35,1.2399297018260233e-31,7.118434110850441e-15
"(1077.098, 1122.821]",2.474524767518398e-07,4.098748534770165e-18,7.239451546295552e-18,2.774283502134672e-08,1.32864088240079e-11,2.4939028994132614e-36,3.437178889175225e-33,1.1738335816857969e-14
"(1122.821, 1179.108]",3.9734952737236524e-07,9.379127165458952e-19,3.612755115742267e-18,2.86591089321778e-08,3.5371148873821146e-11,1.943740721018077e-37,6.912902603637456e-34,1.552928843542091e-14
"(1179.108, 1253.004]",2.6820655544715535e-07,1.4984323946339269e-19,1.7063434292601058e-18,2.9580373969095087e-08,1.2143643191836497e-11,7.58404565165443e-39,2.2698992025810035e-34,1.736673309837542e-14
"(1253.004, 1519.694]",1.212793738164649e-07,9.560502307446951e-21,3.7262198710283646e-20,3.3370916098914034e-08,4.493812724094779e-12,1.1727392998776674e-40,9.85751524655365e-38,2.950108202196961e-13
