year,pkt_inland_yr_capita,country,gdp_capita,tw
1995,10.892419181897731,Germany,35.013648333222925,0
1996,10.87501844473956,Germany,35.21972283992886,0
1997,10.873597955748842,Germany,35.837956585768865,0
1998,11.002051521442699,Germany,36.54561688835178,0
1999,11.259368472785354,Germany,37.27778073742167,0
2000,11.060060687215145,Germany,38.3767761942037,0
2001,11.310678419721562,Germany,39.002050812421736,0
2002,11.412276936285032,Germany,38.96330467743914,0
2003,11.33629034234324,Germany,38.64925518293435,0
2004,11.653883839992162,Germany,39.08611387594769,0
2005,11.511696873889429,Germany,39.38308135596271,0
2006,11.599715239591518,Germany,40.90598466727833,0
2007,11.661298260291836,Germany,42.34055903234885,0
2008,11.72972639577628,Germany,42.910743035574406,0
2009,11.862719406674906,Germany,40.58275069530284,0
2010,11.912999369022716,Germany,42.27664620017909,0
2011,12.025786583555952,Germany,43.808253639185715,0
2012,12.007940918577797,Germany,43.96017687801798,0
2013,12.075861729125105,Germany,44.06601434495657,0
2014,12.21841620626151,Germany,44.87322971819368,0
2015,12.33412400503749,Germany,45.465445876178414,0
2016,12.50389322821617,Germany,46.25470982237906,0
2017,12.284606450676296,Germany,46.98721997757331,0
1982,1.6756149841788301,Greece,18.338415152298694,0
1983,1.691004969070074,Greece,18.02287514221111,0
1984,1.7985074626865671,Greece,18.283265403510583,0
1985,1.917736757624398,Greece,18.64432217030043,0
1986,1.9349975037443834,Greece,18.652886149291685,0
1987,1.9861787809485931,Greece,18.155405485121527,0
1988,2.096921096921087,Greece,18.851406821377523,0
1989,2.2627018511224892,Greece,19.461790658020043,0
1990,2.369743790338353,Greece,19.328568934368427,0
1991,2.394958797867184,Greece,19.755813813128636,0
1992,2.4343570057581574,Greece,19.693636024753328,0
1993,2.5455667362825136,Greece,19.168821167896066,0
1994,2.799718177548145,Greece,19.348317975446953,0
1995,2.92685650474597,Greece,19.568908509652758,0
1996,3.1490952732644013,Greece,19.969182317330883,0
1997,3.2942417018155448,Greece,20.723068318453766,0
1998,3.4619872379216043,Greece,21.404602273334234,0
1999,3.626496191512547,Greece,21.94624670095813,0
2000,3.6507850568489437,Greece,22.695357221662942,0
2001,3.689868870127537,Greece,23.52266635418538,0
2002,3.7391343230191376,Greece,24.340497724614615,0
2003,3.746234067207407,Greece,25.665987726944806,0
2004,3.7913662661326213,Greece,26.926540617524758,0
2005,3.78476614699331,Greece,27.112001278883632,0
2006,3.78265534197586,Greece,28.74692832459069,0
2007,3.82886690647482,Greece,29.86156820393295,0
