d,y,region,type
40.26921135220138,0.0031552992348892546,sweden,pdf
41.7977235269968,0.002534803937840915,sweden,pdf
43.38425395916669,0.002390747396903339,sweden,pdf
45.0310048674727,0.002067752744988299,sweden,pdf
46.740262061044305,0.0019895596282917655,sweden,pdf
48.51439811224687,0.0021219782919907376,sweden,pdf
50.35587564998333,0.0020223395774444444,sweden,pdf
52.26725077800103,0.002026240453790118,sweden,pdf
54.25117662294794,0.0018349503504822534,sweden,pdf
56.310407017104176,0.0017356104281009547,sweden,pdf
58.44780032089993,0.0016036945354779382,sweden,pdf
60.666323390525996,0.0019656648587696134,sweden,pdf
62.96905569614459,0.0019310810069582834,sweden,pdf
65.35919359641585,0.001774771455954023,sweden,pdf
67.84005477527461,0.0013895304160668575,sweden,pdf
70.41508284711513,0.0011741410689750807,sweden,pdf
73.0878521367764,0.0011060134153812714,sweden,pdf
75.8620726409633,0.0010874547650274917,sweden,pdf
78.74159517798937,0.000887950256544116,sweden,pdf
81.73041673299089,0.0009807424377827273,sweden,pdf
84.83268600603077,0.0012860352434380115,sweden,pdf
88.05270917079349,0.0011490189333336351,sweden,pdf
91.39495585186548,0.0009496103339875031,sweden,pdf
94.86406532889606,0.0007621613081109321,sweden,pdf
98.4648529762529,0.0006501486329637718,sweden,pdf
102.20231694710908,0.0006085273038376508,sweden,pdf
106.0816451112405,0.0007243065776359172,sweden,pdf
110.10822225616396,0.0006275763007752461,sweden,pdf
114.28763756160984,0.0005998085551226249,sweden,pdf
118.6256923577087,0.000597818190375444,sweden,pdf
123.12840817765438,0.0005223644509751061,sweden,pdf
127.80203511602835,0.0005364492509279035,sweden,pdf
132.65306050438159,0.0006851311353781608,sweden,pdf
137.68821791611808,0.0004635030923769425,sweden,pdf
142.91449651318268,0.00040778523287678407,sweden,pdf
148.33915074752034,0.00040725612320067107,sweden,pdf
153.96971043078102,0.0006072072662864973,sweden,pdf
159.8139911862398,0.0005698750953993141,sweden,pdf
165.880105297448,0.0004327554829086205,sweden,pdf
172.17647296866758,0.00040688643718065905,sweden,pdf
178.71183401272125,0.00035286879048483855,sweden,pdf
185.4952599824862,0.0004797072632789751,sweden,pdf
192.53616676286126,0.0003996967433509028,sweden,pdf
199.8443276406974,0.000280856650738115,sweden,pdf
207.42988687082442,0.00024176048084276823,sweden,pdf
215.30337375700742,0.0002399522145832438,sweden,pdf
223.47571726738366,0.00026351521665247236,sweden,pdf
231.95826120465546,0.0002445320660022715,sweden,pdf
240.7627799521106,0.00026199662268245255,sweden,pdf
249.90149481731476,0.00023468591523000031,sweden,pdf
259.38709099616705,0.0002190057536362967,sweden,pdf
269.2327351808714,0.00017210800549348346,sweden,pdf
279.452093836251,0.0002120241354233756,sweden,pdf
290.0593521697924,0.00011484472758066869,sweden,pdf
301.06923382173557,0.00013993498726598943,sweden,pdf
312.4970213025473,0.00012790747019492677,sweden,pdf
324.35857720615354,0.0001351657375530001,sweden,pdf
336.67036622835946,0.0001479828064969836,sweden,pdf
349.4494780210404,8.872846578733051e-05,sweden,pdf
362.71365091381034,9.677403475179e-05,sweden,pdf
376.48129653610147,0.00012307944509293544,sweden,pdf
390.77152537384023,0.0002054098755838044,sweden,pdf
405.60417329617496,7.809872705126053e-05,sweden,pdf
420.99982908909976,6.275675553206103e-05,sweden,pdf
436.97986303417315,3.380426183228769e-05,sweden,pdf
453.56645657200886,4.025010675772962e-05,sweden,pdf
470.78263309172286,4.533868467680589e-05,sweden,pdf
