distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(220.281, 223.903]",1.581511306099261e-08,7.38630889752283e-10,2.2918529957392173e-09,3.338008120592199e-12,1.2190478278987875e-13,5.317968867352939e-22,2.4754345267170947e-16,2.281838317290535e-19
"(223.903, 228.5]",3.007362390521632e-08,6.531990024888636e-10,2.5451972819209654e-09,3.223787911744762e-12,3.7230254923373813e-13,6.637143336994892e-22,2.8203806734565305e-16,1.3957085661254088e-19
"(228.5, 235.086]",3.256459822843335e-08,5.542617141666333e-10,2.9232559699610077e-09,9.805542686653158e-12,8.462379305530466e-13,9.958072230992456e-22,8.9876569392126e-16,1.360436368156839e-18
"(235.086, 243.0]",3.640673457800641e-08,4.4474532492660116e-10,2.6247710823852837e-09,1.5469182970446888e-11,2.9538828996666944e-13,9.25054730991628e-22,3.1443561053767654e-16,1.6598888622557e-18
"(243.0, 251.277]",4.014339420295717e-08,3.482553703925532e-10,2.247335064148968e-09,2.0001257380261888e-11,1.013715636997951e-12,6.134299074036564e-22,6.467300462594981e-16,4.102426860508241e-18
"(251.277, 260.286]",2.9692945121605988e-08,2.6876446890636287e-10,1.4609695560145998e-09,1.6958027199450646e-11,2.394354173004691e-13,4.3929687993135625e-22,7.620927717712781e-17,6.032759967276067e-18
"(260.286, 270.265]",4.0420245197460317e-08,2.031774409459593e-10,1.435968757924825e-09,2.3783637446764256e-11,2.9170629782998265e-13,3.0339562025591123e-22,8.526635053319396e-17,4.9779134019793285e-18
"(270.265, 281.827]",4.090566565703762e-08,1.4665877295663536e-10,1.142787004571149e-09,6.77566847032761e-11,2.550577582219775e-13,2.1558110627821088e-22,3.8831717856752705e-17,1.8158946898777784e-17
"(281.827, 295.923]",4.6857030819658626e-08,1.0150122221212654e-10,9.503648104598327e-10,5.941547745999988e-11,5.501844479774964e-13,1.5262028477556154e-22,4.43970387227355e-17,9.388405636857095e-17
"(295.923, 316.2]",4.810395538348755e-08,6.19211108198092e-11,7.296377412559525e-10,3.687801738975903e-11,3.7899472408881116e-13,1.0973104075879143e-22,1.5053126096369244e-17,7.516914675501511e-18
"(316.2, 341.702]",6.007666580718417e-08,3.044042884637662e-11,4.532360153843372e-10,4.511090220784321e-11,7.22375967374256e-13,4.2296487779126296e-23,7.256329550131027e-18,1.6293666614340375e-17
"(341.702, 379.925]",7.952725861241324e-08,1.21428950988657e-11,2.1443208948696887e-10,2.3226011555287804e-11,6.388699346242957e-13,1.5732249036491147e-23,1.5027607379865812e-18,5.385464958070557e-18
"(379.925, 466.471]",2.2746769835865294e-07,2.9477163351988584e-12,8.832523555152398e-11,1.447649268273916e-10,3.44087802918958e-12,3.237203160470857e-24,1.7112578258999403e-19,2.6782370670729044e-16
"(466.471, 1416.072]",2.1255718990315146e-07,6.037986437095749e-14,3.692065899969457e-12,5.3537285935736064e-12,3.210042389091328e-12,1.468048440938752e-26,9.914005739980587e-22,6.580974332482949e-19
